,Unnamed: 0,id,title,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1178,1308,ts37971,Master of None,SHOW,2015,32,8.3,72341.0,21.734,7.6
1179,1309,ts21885,Unbreakable Kimmy Schmidt,SHOW,2015,30,7.6,70242.0,20.333,7.2
1181,1311,ts38783,Secret City,SHOW,2016,50,7.4,7831.0,17.549,6.6
1183,1313,ts36983,Fuller House,SHOW,2016,27,6.7,27148.0,33.47,7.6
1184,1314,ts41963,Easy,SHOW,2016,30,6.9,13569.0,32.563,6.2
1185,1315,ts52838,3%,SHOW,2016,45,7.3,25077.0,37.982,7.3
1186,1316,ts38204,Making a Murderer,SHOW,2015,62,8.6,93456.0,10.955,7.9
1190,1320,ts36046,BUNK'D,SHOW,2015,24,5.3,3174.0,36.236,7.3
1191,1321,ts36545,Quantico,SHOW,2015,43,6.6,60305.0,33.415,6.5
1193,1323,ts36856,F is for Family,SHOW,2015,28,8.0,36050.0,34.434,7.3
1196,1326,ts35362,Locked Up,SHOW,2015,50,8.2,21388.0,137.792,8.0
1202,1332,ts35354,Zoo,SHOW,2015,43,6.6,24479.0,60.53,6.6
1205,1335,ts38758,Ajin,SHOW,2016,24,7.6,6121.0,27.887,8.2
1207,1337,ts41913,Frequency,SHOW,2016,18,7.5,13625.0,13.548,7.2
1209,1339,ts42655,Wanted,SHOW,2016,45,7.6,5693.0,9.545,7.2
1210,1340,ts3844,Aquarius,SHOW,2015,43,7.1,12112.0,11.944,6.8
1211,1341,ts53287,Roman Empire,SHOW,2016,48,7.0,7539.0,25.738,6.9
1214,1344,ts42156,Degrassi: Next Class,SHOW,2016,24,6.8,3205.0,18.683,7.1
1216,1346,ts41906,The Disastrous Life of Saiki K.,SHOW,2016,10,8.4,6649.0,33.948,8.5
1217,1347,ts38116,Mobile Suit Gundam: Iron-Blooded Orphans,SHOW,2015,24,7.9,1623.0,7.838,7.0
1220,1350,ts35256,Chef's Table,SHOW,2015,50,8.5,15176.0,16.397,7.9
1221,1351,ts53249,Trollhunters: Tales of Arcadia,SHOW,2016,22,8.4,16509.0,35.879,8.5
1224,1354,ts42043,March Comes in Like a Lion,SHOW,2016,25,8.4,2586.0,19.401,8.0
1229,1359,ts35577,God Eater,SHOW,2015,23,7.0,1911.0,23.148,7.3
1232,1362,ts52830,Gilmore Girls: A Year in the Life,SHOW,2016,92,7.6,36359.0,20.316,7.6
1235,1365,ts38731,Rebellion,SHOW,2016,51,7.1,3658.0,14.262,6.9
1236,1366,ts42127,The Windsors,SHOW,2016,27,7.1,2648.0,7.115,7.3
1238,1368,ts41948,Hip Hop Evolution,SHOW,2016,48,8.4,5772.0,5.002,7.8
1239,1369,ts38809,The Get Down,SHOW,2016,62,8.2,22304.0,8.755,7.4
1243,1373,ts79799,Dragons: Race to the Edge,SHOW,2015,22,8.2,6161.0,58.201,8.2
1248,1379,ts38568,Flaked,SHOW,2016,32,7.2,11264.0,13.564,6.9
1249,1380,ts37944,A Very Secret Service,SHOW,2015,27,7.7,3461.0,9.908,7.6
1250,1381,ts42137,Voltron: Legendary Defender,SHOW,2016,24,8.1,8706.0,38.016,7.4
1251,1382,ts35987,Transformers: Robots In Disguise,SHOW,2015,21,6.0,1048.0,20.971,7.7
1253,1384,ts53155,Crazyhead,SHOW,2016,43,7.2,4985.0,5.479,6.7
1254,1385,ts38770,Lady Dynamite,SHOW,2016,30,7.3,3655.0,6.874,7.4
1255,1386,ts42038,No Tomorrow,SHOW,2016,47,7.3,5101.0,7.804,6.2
1258,1389,ts42119,Greenleaf,SHOW,2016,42,7.3,5158.0,16.824,7.4
1259,1390,ts76079,Grizzy & the Lemmings,SHOW,2016,7,7.1,579.0,68.219,8.3
1269,1400,ts41995,Zumbo's Just Desserts,SHOW,2016,52,6.9,2125.0,6.212,6.1
1270,1401,ts76956,The Letdown,SHOW,2016,30,7.5,3253.0,3.728,8.0
1271,1402,ts54028,Case,SHOW,2015,46,7.0,2688.0,2.178,7.3
1276,1408,ts78325,Sinatra: All or Nothing at All,SHOW,2015,122,8.0,2354.0,5.024,7.3
1281,1413,ts11670,The Adventures of Puss in Boots,SHOW,2015,23,6.6,1696.0,14.724,6.9
1282,1414,ts42090,Last Chance U,SHOW,2016,55,8.4,6789.0,16.641,7.3
1283,1415,ts86021,Molang,SHOW,2015,3,8.4,346.0,8.324,8.0
