id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,numberTags
ts22082,Knight Rider,SHOW,1982,51,"['action', 'scifi', 'crime', 'drama']",4.0,6.9,33760.0,44.378,7.5,4
tm145608,Awakenings,MOVIE,1990,120,"['drama', 'european']",0.0,7.8,137549.0,13.761,7.8,2
ts21715,Thomas & Friends,SHOW,1984,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",24.0,6.5,4948.0,49.384,6.6,7
tm41289,Annie,MOVIE,1982,127,"['drama', 'family', 'comedy']",0.0,6.6,44866.0,15.857,6.5,3
tm132694,Pet Sematary,MOVIE,1989,103,"['horror', 'fantasy', 'thriller']",0.0,6.5,102212.0,32.854,6.6,3
ts20678,Saved by the Bell,SHOW,1989,23,"['comedy', 'romance', 'family']",5.0,7.1,34854.0,16.945,8.0,3
tm117580,She's Gotta Have It,MOVIE,1986,84,"['comedy', 'romance']",0.0,6.7,14277.0,6.212,6.7,2
tm20712,Eddie Murphy Raw,MOVIE,1987,93,"['comedy', 'documentation']",0.0,7.6,19646.0,9.727,7.3,2
tm130586,Endless Love,MOVIE,1981,116,"['drama', 'romance']",0.0,4.9,8374.0,19.518,5.6,2
ts25028,Wheel of Fortune,SHOW,1983,26,['family'],39.0,6.7,3126.0,1440.855,6.7,1
ts23753,Major Dad,SHOW,1989,24,"['comedy', 'family']",4.0,6.4,2866.0,7.506,6.3,2
ts2760,Fireman Sam,SHOW,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",13.0,6.1,1759.0,25.697,7.3,5
ts987,Danger Mouse,SHOW,1981,15,"['comedy', 'family', 'scifi', 'animation', 'european']",10.0,7.4,3514.0,7.748,7.4,5
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,"['scifi', 'drama', 'war', 'animation', 'action']",0.0,7.2,1242.0,12.744,7.2,5
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,120,"['scifi', 'animation', 'action', 'drama', 'war']",0.0,7.3,1649.0,8.356,6.8,5
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,50,"['comedy', 'documentation']",0.0,7.2,651.0,1.791,7.2,2
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,30,"['comedy', 'documentation']",0.0,6.0,353.0,1.46,6.3,2
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,77,"['comedy', 'documentation']",0.0,7.9,15186.0,7.641,7.4,2
tm114356,The George McKenna Story,MOVIE,1988,100,['drama'],0.0,6.0,901.0,1.631,6.1,1
tm147829,Unspeakable Acts,MOVIE,1990,100,['drama'],0.0,6.0,448.0,2.596,5.3,1
tm126769,Waiting for the Hearse,MOVIE,1985,87,['comedy'],0.0,8.0,6285.0,8.19,8.2,1
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,"['animation', 'action', 'drama', 'scifi', 'war']",0.0,7.7,1210.0,11.448,7.5,5
tm159912,Agneepath,MOVIE,1990,174,"['action', 'crime', 'drama']",0.0,7.6,8902.0,4.372,6.5,3
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,['comedy'],0.0,8.1,1522.0,1.429,6.8,1
tm38736,Too Young The Hero,MOVIE,1988,100,"['drama', 'war']",0.0,6.7,494.0,1.291,6.9,2
tm258072,Adam: His Song Continues,MOVIE,1986,100,"['crime', 'drama']",0.0,7.0,209.0,2.203,7.0,2
tm52815,Disco Dancer,MOVIE,1982,134,"['drama', 'romance']",0.0,6.5,1449.0,3.042,5.3,2
tm137013,The Ryan White Story,MOVIE,1989,102,['drama'],0.0,7.2,857.0,1.714,6.4,1
tm157853,In Defense of a Married Man,MOVIE,1990,94,"['drama', 'crime']",0.0,5.6,200.0,2.768,4.9,2
tm157603,Dil,MOVIE,1990,172,"['romance', 'comedy', 'drama']",0.0,6.6,5273.0,2.38,6.5,3
tm45720,Bye Bye London,MOVIE,1982,170,"['comedy', 'drama']",0.0,8.7,154.0,1.465,7.5,2
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,['drama'],0.0,7.1,144.0,2.673,8.0,1
tm151332,"Alexandria, Again and Forever",MOVIE,1989,105,['drama'],0.0,6.5,643.0,3.021,5.3,1
tm24110,Strange Voices,MOVIE,1987,100,['drama'],0.0,6.3,357.0,2.564,6.8,1
tm348735,Aakhri Adaalat,MOVIE,1988,148,"['action', 'crime', 'thriller']",0.0,5.1,92.0,1.15,5.0,3
tm51083,A Stoning in Fulham County,MOVIE,1988,120,"['crime', 'drama', 'thriller']",0.0,5.8,380.0,1.509,5.8,3
tm172482,Sohni Mahiwal,MOVIE,1984,160,"['romance', 'action', 'drama']",0.0,6.1,297.0,2.002,5.8,3
tm52274,The Little Wars,MOVIE,1982,108,"['drama', 'war', 'european']",0.0,6.3,149.0,1.069,5.5,3
tm371359,Jaal,MOVIE,1986,159,"['drama', 'thriller', 'action']",0.0,5.2,122.0,3.243,5.0,3
tm446654,Mujrim,MOVIE,1989,162,"['drama', 'action', 'crime']",0.0,5.4,188.0,2.744,6.0,3
tm47673,An Egyptian Story,MOVIE,1982,129,"['fantasy', 'drama']",0.0,7.3,1113.0,2.547,6.7,2
tm419052,Ek Jaan Hain Hum,MOVIE,1983,151,"['family', 'romance']",0.0,6.3,70.0,0.892,7.0,2
tm11556,The Quick and the Dead,MOVIE,1995,107,"['western', 'thriller', 'action', 'romance']",0.0,6.5,92224.0,17.543,6.5,4
ts20981,Survivor,SHOW,2000,48,['reality'],42.0,7.4,24368.0,73.107,7.3,1
ts22176,Stargate SG-1,SHOW,1997,44,"['scifi', 'drama', 'action']",10.0,8.4,90196.0,167.57,8.2,3
ts21223,Pokémon,SHOW,1997,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",24.0,7.6,172.0,138.135,7.6,6
tm122434,Forrest Gump,MOVIE,1994,142,"['drama', 'romance', 'comedy']",0.0,8.8,1994599.0,57.114,8.5,3
tm106462,Happy Gilmore,MOVIE,1996,92,"['comedy', 'sport']",0.0,7.0,217534.0,16.583,6.6,2
ts20339,One Piece,SHOW,1999,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",21.0,8.8,112586.0,105.955,8.8,5
tm57554,Saving Private Ryan,MOVIE,1998,169,"['drama', 'war']",0.0,8.6,1346020.0,54.874,8.2,2
ts34435,Cowboy Bebop,SHOW,1998,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",1.0,8.9,112887.0,34.769,8.5,7
ts20927,Star Trek: Deep Space Nine,SHOW,1993,47,"['scifi', 'action', 'drama']",7.0,8.1,61145.0,61.159,7.9,3
ts5145,The Challenge,SHOW,1998,40,"['reality', 'comedy', 'drama', 'scifi']",37.0,7.8,3274.0,15.699,7.6,4
tm192405,Gattaca,MOVIE,1997,106,"['thriller', 'drama', 'scifi']",0.0,7.8,298168.0,18.355,7.6,3
ts21567,Gilmore Girls,SHOW,2000,46,"['comedy', 'drama']",8.0,8.2,119054.0,51.125,7.8,2
tm55553,Blade,MOVIE,1998,120,"['action', 'scifi', 'horror']",0.0,7.1,267181.0,47.411,6.7,3
tm56574,You've Got Mail,MOVIE,1998,119,"['romance', 'drama', 'comedy']",0.0,6.7,209258.0,15.015,6.6,3
tm192037,Starship Troopers,MOVIE,1997,129,"['scifi', 'thriller', 'action']",0.0,7.3,288960.0,22.126,7.0,3
ts20983,Neon Genesis Evangelion,SHOW,1995,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",1.0,8.5,64727.0,51.993,8.6,6
ts22193,The Magic School Bus,SHOW,1994,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",4.0,7.8,9708.0,30.176,7.9,5
tm191989,Donnie Brasco,MOVIE,1997,127,"['thriller', 'drama', 'crime']",0.0,7.7,300073.0,14.769,7.5,3
ts20960,Power Rangers,SHOW,1993,22,"['scifi', 'action', 'fantasy', 'family']",29.0,6.5,21949.0,21.083,6.7,4
tm65686,U.S. Marshals,MOVIE,1998,126,"['thriller', 'crime', 'action']",0.0,6.5,103263.0,28.657,6.5,3
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",4.0,6.2,3808.0,23.374,6.2,7
tm54903,Wild Things,MOVIE,1998,108,"['drama', 'thriller', 'crime', 'european']",0.0,6.6,118811.0,22.205,6.3,4
tm187187,Last Action Hero,MOVIE,1993,130,"['comedy', 'action', 'fantasy']",0.0,6.4,149290.0,18.865,6.4,3
tm191772,Seven Years in Tibet,MOVIE,1997,136,"['drama', 'history', 'war']",0.0,7.1,141308.0,14.442,7.2,3
tm191848,The Devil's Advocate,MOVIE,1997,144,"['horror', 'thriller', 'drama']",0.0,7.5,361422.0,34.774,7.4,3
tm121879,A River Runs Through It,MOVIE,1992,123,['drama'],0.0,7.2,59086.0,16.558,7.1,1
tm44402,"Girl, Interrupted",MOVIE,1999,127,"['drama', 'european']",0.0,7.3,180532.0,17.613,7.5,2
ts22489,Goosebumps,SHOW,1995,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",4.0,7.6,13361.0,88.924,8.0,6
ts25252,Yu-Gi-Oh!,SHOW,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.0,7.2,20888.0,75.438,7.3,7
ts21034,InuYasha,SHOW,2000,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",9.0,7.9,15823.0,149.742,8.6,7
tm53419,Any Given Sunday,MOVIE,1999,162,"['drama', 'sport']",0.0,6.9,118479.0,13.825,6.8,2
tm189764,Menace II Society,MOVIE,1993,97,"['drama', 'crime', 'thriller']",0.0,7.5,57399.0,15.347,7.5,3
tm9323,Desperado,MOVIE,1995,104,"['thriller', 'action', 'crime', 'western', 'european']",0.0,7.1,183638.0,19.718,6.9,5
tm46173,The Mask of Zorro,MOVIE,1998,136,"['action', 'thriller', 'western', 'comedy', 'romance']",0.0,6.8,181306.0,25.426,6.5,5
tm19673,The Patriot,MOVIE,2000,165,"['drama', 'action', 'history', 'war']",0.0,7.2,270231.0,20.438,7.1,4
tm24877,Road Trip,MOVIE,2000,93,['comedy'],0.0,6.5,167670.0,16.989,6.2,1
tm189433,Free Willy,MOVIE,1993,112,"['drama', 'family']",0.0,6.0,75244.0,31.688,6.2,2
tm1822,3 Ninjas Kick Back,MOVIE,1994,93,"['action', 'comedy', 'family', 'sport']",0.0,4.5,9208.0,9.773,5.5,4
tm187791,In the Line of Fire,MOVIE,1993,128,"['drama', 'thriller', 'action', 'crime']",0.0,7.2,101939.0,15.02,7.0,4
tm19494,The Replacements,MOVIE,2000,118,"['comedy', 'sport']",0.0,6.6,64087.0,13.465,6.6,2
tm10739,Johnny Mnemonic,MOVIE,1995,97,"['scifi', 'thriller', 'action', 'drama']",0.0,5.6,71062.0,11.747,5.7,4
tm113576,Little Women,MOVIE,1994,115,"['drama', 'family', 'romance']",0.0,7.3,57621.0,17.027,7.3,3
tm191387,Anaconda,MOVIE,1997,89,"['thriller', 'horror', 'action']",0.0,4.8,103459.0,31.57,5.1,3
tm6859,My Girl,MOVIE,1991,103,"['comedy', 'drama', 'family', 'romance', 'european']",0.0,6.9,79800.0,21.381,7.4,5
tm186589,Cliffhanger,MOVIE,1993,112,"['thriller', 'action', 'animation']",0.0,6.5,128179.0,20.292,6.4,3
tm191374,I Know What You Did Last Summer,MOVIE,1997,101,"['horror', 'thriller']",0.0,5.7,142696.0,18.102,5.9,2
